sentence1,sentence2,answer
"Imran Khan abandons Islamabad protest after inquiry into PM granted Imran Khan has abandoned plans to bring Islamabad to a standstill after Pakistan’s highest court agreed to his petition to launch an inquiry into corruption allegations against the prime minister. Khan, the leader of the Tehreek-e-Insaf party (PTI), had vowed to “lock down” Pakistan’s capital on Wednesday as part of his campaign against Nawaz Sharif after the leaking of the Panama Papers . He says the prime minister must explain how his children became owners or trustees of offshore companies that own expensive London property. With thousands of Khan’s supporters bearing down on the capital on Tuesday, the supreme court offered a way out of the crisis, saying the PTI and the governing Pakistan Muslim League (Nawaz) (PML-N) had until Thursday to agree terms of reference for the judge-led inquiry or the court would decide them. Sharif and his children deny any wrongdoing, but Khan has suggested that the family’s offshore companies may have been used to hide “ill-gotten wealth” or avoid tax. Islamabad had been braced for the arrival of thousands of Khan’s supporters, in a repeat of the PTI’s 2014 street protests that lasted four months. Fearing violent confrontations in the heart of the capital, the government had taken extraordinary steps to head off the protests, including placing shipping containers across some of the access roads into Islamabad and using colonial-era legislation to ban gatherings of more than four people in Punjab, Pakistan’s largest province.",How many are jailed/imprisoned in a protest?,no-answer
"Imran Khan abandons Islamabad protest after inquiry into PM granted Imran Khan has abandoned plans to bring Islamabad to a standstill after Pakistan’s highest court agreed to his petition to launch an inquiry into corruption allegations against the prime minister. Khan, the leader of the Tehreek-e-Insaf party (PTI), had vowed to “lock down” Pakistan’s capital on Wednesday as part of his campaign against Nawaz Sharif after the leaking of the Panama Papers . He says the prime minister must explain how his children became owners or trustees of offshore companies that own expensive London property. With thousands of Khan’s supporters bearing down on the capital on Tuesday, the supreme court offered a way out of the crisis, saying the PTI and the governing Pakistan Muslim League (Nawaz) (PML-N) had until Thursday to agree terms of reference for the judge-led inquiry or the court would decide them. Sharif and his children deny any wrongdoing, but Khan has suggested that the family’s offshore companies may have been used to hide “ill-gotten wealth” or avoid tax. Islamabad had been braced for the arrival of thousands of Khan’s supporters, in a repeat of the PTI’s 2014 street protests that lasted four months. Fearing violent confrontations in the heart of the capital, the government had taken extraordinary steps to head off the protests, including placing shipping containers across some of the access roads into Islamabad and using colonial-era legislation to ban gatherings of more than four people in Punjab, Pakistan’s largest province.",Who is injured/wounded in a protest?,no-answer
"Imran Khan abandons Islamabad protest after inquiry into PM granted Imran Khan has abandoned plans to bring Islamabad to a standstill after Pakistan’s highest court agreed to his petition to launch an inquiry into corruption allegations against the prime minister. Khan, the leader of the Tehreek-e-Insaf party (PTI), had vowed to “lock down” Pakistan’s capital on Wednesday as part of his campaign against Nawaz Sharif after the leaking of the Panama Papers . He says the prime minister must explain how his children became owners or trustees of offshore companies that own expensive London property. With thousands of Khan’s supporters bearing down on the capital on Tuesday, the supreme court offered a way out of the crisis, saying the PTI and the governing Pakistan Muslim League (Nawaz) (PML-N) had until Thursday to agree terms of reference for the judge-led inquiry or the court would decide them. Sharif and his children deny any wrongdoing, but Khan has suggested that the family’s offshore companies may have been used to hide “ill-gotten wealth” or avoid tax. Islamabad had been braced for the arrival of thousands of Khan’s supporters, in a repeat of the PTI’s 2014 street protests that lasted four months. Fearing violent confrontations in the heart of the capital, the government had taken extraordinary steps to head off the protests, including placing shipping containers across some of the access roads into Islamabad and using colonial-era legislation to ban gatherings of more than four people in Punjab, Pakistan’s largest province.",How many are injured/wounded in a protest?,no-answer
"Imran Khan abandons Islamabad protest after inquiry into PM granted Imran Khan has abandoned plans to bring Islamabad to a standstill after Pakistan’s highest court agreed to his petition to launch an inquiry into corruption allegations against the prime minister. Khan, the leader of the Tehreek-e-Insaf party (PTI), had vowed to “lock down” Pakistan’s capital on Wednesday as part of his campaign against Nawaz Sharif after the leaking of the Panama Papers . He says the prime minister must explain how his children became owners or trustees of offshore companies that own expensive London property. With thousands of Khan’s supporters bearing down on the capital on Tuesday, the supreme court offered a way out of the crisis, saying the PTI and the governing Pakistan Muslim League (Nawaz) (PML-N) had until Thursday to agree terms of reference for the judge-led inquiry or the court would decide them. Sharif and his children deny any wrongdoing, but Khan has suggested that the family’s offshore companies may have been used to hide “ill-gotten wealth” or avoid tax. Islamabad had been braced for the arrival of thousands of Khan’s supporters, in a repeat of the PTI’s 2014 street protests that lasted four months. Fearing violent confrontations in the heart of the capital, the government had taken extraordinary steps to head off the protests, including placing shipping containers across some of the access roads into Islamabad and using colonial-era legislation to ban gatherings of more than four people in Punjab, Pakistan’s largest province.",What was averted/haven't occurred because of a protest?,no-answer
"Imran Khan abandons Islamabad protest after inquiry into PM granted Imran Khan has abandoned plans to bring Islamabad to a standstill after Pakistan’s highest court agreed to his petition to launch an inquiry into corruption allegations against the prime minister. Khan, the leader of the Tehreek-e-Insaf party (PTI), had vowed to “lock down” Pakistan’s capital on Wednesday as part of his campaign against Nawaz Sharif after the leaking of the Panama Papers . He says the prime minister must explain how his children became owners or trustees of offshore companies that own expensive London property. With thousands of Khan’s supporters bearing down on the capital on Tuesday, the supreme court offered a way out of the crisis, saying the PTI and the governing Pakistan Muslim League (Nawaz) (PML-N) had until Thursday to agree terms of reference for the judge-led inquiry or the court would decide them. Sharif and his children deny any wrongdoing, but Khan has suggested that the family’s offshore companies may have been used to hide “ill-gotten wealth” or avoid tax. Islamabad had been braced for the arrival of thousands of Khan’s supporters, in a repeat of the PTI’s 2014 street protests that lasted four months. Fearing violent confrontations in the heart of the capital, the government had taken extraordinary steps to head off the protests, including placing shipping containers across some of the access roads into Islamabad and using colonial-era legislation to ban gatherings of more than four people in Punjab, Pakistan’s largest province.",What will potentially occur because of a protest?,no-answer
"Imran Khan abandons Islamabad protest after inquiry into PM granted Imran Khan has abandoned plans to bring Islamabad to a standstill after Pakistan’s highest court agreed to his petition to launch an inquiry into corruption allegations against the prime minister. Khan, the leader of the Tehreek-e-Insaf party (PTI), had vowed to “lock down” Pakistan’s capital on Wednesday as part of his campaign against Nawaz Sharif after the leaking of the Panama Papers . He says the prime minister must explain how his children became owners or trustees of offshore companies that own expensive London property. With thousands of Khan’s supporters bearing down on the capital on Tuesday, the supreme court offered a way out of the crisis, saying the PTI and the governing Pakistan Muslim League (Nawaz) (PML-N) had until Thursday to agree terms of reference for the judge-led inquiry or the court would decide them. Sharif and his children deny any wrongdoing, but Khan has suggested that the family’s offshore companies may have been used to hide “ill-gotten wealth” or avoid tax. Islamabad had been braced for the arrival of thousands of Khan’s supporters, in a repeat of the PTI’s 2014 street protests that lasted four months. Fearing violent confrontations in the heart of the capital, the government had taken extraordinary steps to head off the protests, including placing shipping containers across some of the access roads into Islamabad and using colonial-era legislation to ban gatherings of more than four people in Punjab, Pakistan’s largest province.",Who is killed in a protest?,no-answer
"Imran Khan abandons Islamabad protest after inquiry into PM granted Imran Khan has abandoned plans to bring Islamabad to a standstill after Pakistan’s highest court agreed to his petition to launch an inquiry into corruption allegations against the prime minister. Khan, the leader of the Tehreek-e-Insaf party (PTI), had vowed to “lock down” Pakistan’s capital on Wednesday as part of his campaign against Nawaz Sharif after the leaking of the Panama Papers . He says the prime minister must explain how his children became owners or trustees of offshore companies that own expensive London property. With thousands of Khan’s supporters bearing down on the capital on Tuesday, the supreme court offered a way out of the crisis, saying the PTI and the governing Pakistan Muslim League (Nawaz) (PML-N) had until Thursday to agree terms of reference for the judge-led inquiry or the court would decide them. Sharif and his children deny any wrongdoing, but Khan has suggested that the family’s offshore companies may have been used to hide “ill-gotten wealth” or avoid tax. Islamabad had been braced for the arrival of thousands of Khan’s supporters, in a repeat of the PTI’s 2014 street protests that lasted four months. Fearing violent confrontations in the heart of the capital, the government had taken extraordinary steps to head off the protests, including placing shipping containers across some of the access roads into Islamabad and using colonial-era legislation to ban gatherings of more than four people in Punjab, Pakistan’s largest province.",How many are killed in a protest?,no-answer
"Imran Khan abandons Islamabad protest after inquiry into PM granted Imran Khan has abandoned plans to bring Islamabad to a standstill after Pakistan’s highest court agreed to his petition to launch an inquiry into corruption allegations against the prime minister. Khan, the leader of the Tehreek-e-Insaf party (PTI), had vowed to “lock down” Pakistan’s capital on Wednesday as part of his campaign against Nawaz Sharif after the leaking of the Panama Papers . He says the prime minister must explain how his children became owners or trustees of offshore companies that own expensive London property. With thousands of Khan’s supporters bearing down on the capital on Tuesday, the supreme court offered a way out of the crisis, saying the PTI and the governing Pakistan Muslim League (Nawaz) (PML-N) had until Thursday to agree terms of reference for the judge-led inquiry or the court would decide them. Sharif and his children deny any wrongdoing, but Khan has suggested that the family’s offshore companies may have been used to hide “ill-gotten wealth” or avoid tax. Islamabad had been braced for the arrival of thousands of Khan’s supporters, in a repeat of the PTI’s 2014 street protests that lasted four months. Fearing violent confrontations in the heart of the capital, the government had taken extraordinary steps to head off the protests, including placing shipping containers across some of the access roads into Islamabad and using colonial-era legislation to ban gatherings of more than four people in Punjab, Pakistan’s largest province.",What space/building is taken over in a protest?,Islamabad|Islamabad|Pakistan’s capital|the capital|the capital|Islamabad
"Imran Khan abandons Islamabad protest after inquiry into PM granted Imran Khan has abandoned plans to bring Islamabad to a standstill after Pakistan’s highest court agreed to his petition to launch an inquiry into corruption allegations against the prime minister. Khan, the leader of the Tehreek-e-Insaf party (PTI), had vowed to “lock down” Pakistan’s capital on Wednesday as part of his campaign against Nawaz Sharif after the leaking of the Panama Papers . He says the prime minister must explain how his children became owners or trustees of offshore companies that own expensive London property. With thousands of Khan’s supporters bearing down on the capital on Tuesday, the supreme court offered a way out of the crisis, saying the PTI and the governing Pakistan Muslim League (Nawaz) (PML-N) had until Thursday to agree terms of reference for the judge-led inquiry or the court would decide them. Sharif and his children deny any wrongdoing, but Khan has suggested that the family’s offshore companies may have been used to hide “ill-gotten wealth” or avoid tax. Islamabad had been braced for the arrival of thousands of Khan’s supporters, in a repeat of the PTI’s 2014 street protests that lasted four months. Fearing violent confrontations in the heart of the capital, the government had taken extraordinary steps to head off the protests, including placing shipping containers across some of the access roads into Islamabad and using colonial-era legislation to ban gatherings of more than four people in Punjab, Pakistan’s largest province.",Who leads/organizes a protest?,Imran Khan|his|He|Khan|Imran Khan|Khan|the leader|Khan|Khan
"Imran Khan abandons Islamabad protest after inquiry into PM granted Imran Khan has abandoned plans to bring Islamabad to a standstill after Pakistan’s highest court agreed to his petition to launch an inquiry into corruption allegations against the prime minister. Khan, the leader of the Tehreek-e-Insaf party (PTI), had vowed to “lock down” Pakistan’s capital on Wednesday as part of his campaign against Nawaz Sharif after the leaking of the Panama Papers . He says the prime minister must explain how his children became owners or trustees of offshore companies that own expensive London property. With thousands of Khan’s supporters bearing down on the capital on Tuesday, the supreme court offered a way out of the crisis, saying the PTI and the governing Pakistan Muslim League (Nawaz) (PML-N) had until Thursday to agree terms of reference for the judge-led inquiry or the court would decide them. Sharif and his children deny any wrongdoing, but Khan has suggested that the family’s offshore companies may have been used to hide “ill-gotten wealth” or avoid tax. Islamabad had been braced for the arrival of thousands of Khan’s supporters, in a repeat of the PTI’s 2014 street protests that lasted four months. Fearing violent confrontations in the heart of the capital, the government had taken extraordinary steps to head off the protests, including placing shipping containers across some of the access roads into Islamabad and using colonial-era legislation to ban gatherings of more than four people in Punjab, Pakistan’s largest province.",What occurred because of a protest?,inquiry|inquiry|inquiry
"Imran Khan abandons Islamabad protest after inquiry into PM granted Imran Khan has abandoned plans to bring Islamabad to a standstill after Pakistan’s highest court agreed to his petition to launch an inquiry into corruption allegations against the prime minister. Khan, the leader of the Tehreek-e-Insaf party (PTI), had vowed to “lock down” Pakistan’s capital on Wednesday as part of his campaign against Nawaz Sharif after the leaking of the Panama Papers . He says the prime minister must explain how his children became owners or trustees of offshore companies that own expensive London property. With thousands of Khan’s supporters bearing down on the capital on Tuesday, the supreme court offered a way out of the crisis, saying the PTI and the governing Pakistan Muslim League (Nawaz) (PML-N) had until Thursday to agree terms of reference for the judge-led inquiry or the court would decide them. Sharif and his children deny any wrongdoing, but Khan has suggested that the family’s offshore companies may have been used to hide “ill-gotten wealth” or avoid tax. Islamabad had been braced for the arrival of thousands of Khan’s supporters, in a repeat of the PTI’s 2014 street protests that lasted four months. Fearing violent confrontations in the heart of the capital, the government had taken extraordinary steps to head off the protests, including placing shipping containers across some of the access roads into Islamabad and using colonial-era legislation to ban gatherings of more than four people in Punjab, Pakistan’s largest province.",What a protest is meant to end?,Nawaz Sharif|Nawaz|PM|his|his|the prime minister|the prime minister|Sharif
"Imran Khan abandons Islamabad protest after inquiry into PM granted Imran Khan has abandoned plans to bring Islamabad to a standstill after Pakistan’s highest court agreed to his petition to launch an inquiry into corruption allegations against the prime minister. Khan, the leader of the Tehreek-e-Insaf party (PTI), had vowed to “lock down” Pakistan’s capital on Wednesday as part of his campaign against Nawaz Sharif after the leaking of the Panama Papers . He says the prime minister must explain how his children became owners or trustees of offshore companies that own expensive London property. With thousands of Khan’s supporters bearing down on the capital on Tuesday, the supreme court offered a way out of the crisis, saying the PTI and the governing Pakistan Muslim League (Nawaz) (PML-N) had until Thursday to agree terms of reference for the judge-led inquiry or the court would decide them. Sharif and his children deny any wrongdoing, but Khan has suggested that the family’s offshore companies may have been used to hide “ill-gotten wealth” or avoid tax. Islamabad had been braced for the arrival of thousands of Khan’s supporters, in a repeat of the PTI’s 2014 street protests that lasted four months. Fearing violent confrontations in the heart of the capital, the government had taken extraordinary steps to head off the protests, including placing shipping containers across some of the access roads into Islamabad and using colonial-era legislation to ban gatherings of more than four people in Punjab, Pakistan’s largest province.",What is the aim of a protest?,inquiry|inquiry|inquiry
"Imran Khan abandons Islamabad protest after inquiry into PM granted Imran Khan has abandoned plans to bring Islamabad to a standstill after Pakistan’s highest court agreed to his petition to launch an inquiry into corruption allegations against the prime minister. Khan, the leader of the Tehreek-e-Insaf party (PTI), had vowed to “lock down” Pakistan’s capital on Wednesday as part of his campaign against Nawaz Sharif after the leaking of the Panama Papers . He says the prime minister must explain how his children became owners or trustees of offshore companies that own expensive London property. With thousands of Khan’s supporters bearing down on the capital on Tuesday, the supreme court offered a way out of the crisis, saying the PTI and the governing Pakistan Muslim League (Nawaz) (PML-N) had until Thursday to agree terms of reference for the judge-led inquiry or the court would decide them. Sharif and his children deny any wrongdoing, but Khan has suggested that the family’s offshore companies may have been used to hide “ill-gotten wealth” or avoid tax. Islamabad had been braced for the arrival of thousands of Khan’s supporters, in a repeat of the PTI’s 2014 street protests that lasted four months. Fearing violent confrontations in the heart of the capital, the government had taken extraordinary steps to head off the protests, including placing shipping containers across some of the access roads into Islamabad and using colonial-era legislation to ban gatherings of more than four people in Punjab, Pakistan’s largest province.",When is a protest?,Wednesday
"Imran Khan abandons Islamabad protest after inquiry into PM granted Imran Khan has abandoned plans to bring Islamabad to a standstill after Pakistan’s highest court agreed to his petition to launch an inquiry into corruption allegations against the prime minister. Khan, the leader of the Tehreek-e-Insaf party (PTI), had vowed to “lock down” Pakistan’s capital on Wednesday as part of his campaign against Nawaz Sharif after the leaking of the Panama Papers . He says the prime minister must explain how his children became owners or trustees of offshore companies that own expensive London property. With thousands of Khan’s supporters bearing down on the capital on Tuesday, the supreme court offered a way out of the crisis, saying the PTI and the governing Pakistan Muslim League (Nawaz) (PML-N) had until Thursday to agree terms of reference for the judge-led inquiry or the court would decide them. Sharif and his children deny any wrongdoing, but Khan has suggested that the family’s offshore companies may have been used to hide “ill-gotten wealth” or avoid tax. Islamabad had been braced for the arrival of thousands of Khan’s supporters, in a repeat of the PTI’s 2014 street protests that lasted four months. Fearing violent confrontations in the heart of the capital, the government had taken extraordinary steps to head off the protests, including placing shipping containers across some of the access roads into Islamabad and using colonial-era legislation to ban gatherings of more than four people in Punjab, Pakistan’s largest province.",Where a protest has taken place?,Islamabad|Islamabad|Pakistan’s capital|the capital|the capital|Islamabad
"Imran Khan abandons Islamabad protest after inquiry into PM granted Imran Khan has abandoned plans to bring Islamabad to a standstill after Pakistan’s highest court agreed to his petition to launch an inquiry into corruption allegations against the prime minister. Khan, the leader of the Tehreek-e-Insaf party (PTI), had vowed to “lock down” Pakistan’s capital on Wednesday as part of his campaign against Nawaz Sharif after the leaking of the Panama Papers . He says the prime minister must explain how his children became owners or trustees of offshore companies that own expensive London property. With thousands of Khan’s supporters bearing down on the capital on Tuesday, the supreme court offered a way out of the crisis, saying the PTI and the governing Pakistan Muslim League (Nawaz) (PML-N) had until Thursday to agree terms of reference for the judge-led inquiry or the court would decide them. Sharif and his children deny any wrongdoing, but Khan has suggested that the family’s offshore companies may have been used to hide “ill-gotten wealth” or avoid tax. Islamabad had been braced for the arrival of thousands of Khan’s supporters, in a repeat of the PTI’s 2014 street protests that lasted four months. Fearing violent confrontations in the heart of the capital, the government had taken extraordinary steps to head off the protests, including placing shipping containers across some of the access roads into Islamabad and using colonial-era legislation to ban gatherings of more than four people in Punjab, Pakistan’s largest province.",Who is arrested in a protest?,no-answer
"Imran Khan abandons Islamabad protest after inquiry into PM granted Imran Khan has abandoned plans to bring Islamabad to a standstill after Pakistan’s highest court agreed to his petition to launch an inquiry into corruption allegations against the prime minister. Khan, the leader of the Tehreek-e-Insaf party (PTI), had vowed to “lock down” Pakistan’s capital on Wednesday as part of his campaign against Nawaz Sharif after the leaking of the Panama Papers . He says the prime minister must explain how his children became owners or trustees of offshore companies that own expensive London property. With thousands of Khan’s supporters bearing down on the capital on Tuesday, the supreme court offered a way out of the crisis, saying the PTI and the governing Pakistan Muslim League (Nawaz) (PML-N) had until Thursday to agree terms of reference for the judge-led inquiry or the court would decide them. Sharif and his children deny any wrongdoing, but Khan has suggested that the family’s offshore companies may have been used to hide “ill-gotten wealth” or avoid tax. Islamabad had been braced for the arrival of thousands of Khan’s supporters, in a repeat of the PTI’s 2014 street protests that lasted four months. Fearing violent confrontations in the heart of the capital, the government had taken extraordinary steps to head off the protests, including placing shipping containers across some of the access roads into Islamabad and using colonial-era legislation to ban gatherings of more than four people in Punjab, Pakistan’s largest province.",How many are arrested in a protest?,no-answer
"Imran Khan abandons Islamabad protest after inquiry into PM granted Imran Khan has abandoned plans to bring Islamabad to a standstill after Pakistan’s highest court agreed to his petition to launch an inquiry into corruption allegations against the prime minister. Khan, the leader of the Tehreek-e-Insaf party (PTI), had vowed to “lock down” Pakistan’s capital on Wednesday as part of his campaign against Nawaz Sharif after the leaking of the Panama Papers . He says the prime minister must explain how his children became owners or trustees of offshore companies that own expensive London property. With thousands of Khan’s supporters bearing down on the capital on Tuesday, the supreme court offered a way out of the crisis, saying the PTI and the governing Pakistan Muslim League (Nawaz) (PML-N) had until Thursday to agree terms of reference for the judge-led inquiry or the court would decide them. Sharif and his children deny any wrongdoing, but Khan has suggested that the family’s offshore companies may have been used to hide “ill-gotten wealth” or avoid tax. Islamabad had been braced for the arrival of thousands of Khan’s supporters, in a repeat of the PTI’s 2014 street protests that lasted four months. Fearing violent confrontations in the heart of the capital, the government had taken extraordinary steps to head off the protests, including placing shipping containers across some of the access roads into Islamabad and using colonial-era legislation to ban gatherings of more than four people in Punjab, Pakistan’s largest province.",What space/building is taken over in a protest?,no-answer
"Imran Khan abandons Islamabad protest after inquiry into PM granted Imran Khan has abandoned plans to bring Islamabad to a standstill after Pakistan’s highest court agreed to his petition to launch an inquiry into corruption allegations against the prime minister. Khan, the leader of the Tehreek-e-Insaf party (PTI), had vowed to “lock down” Pakistan’s capital on Wednesday as part of his campaign against Nawaz Sharif after the leaking of the Panama Papers . He says the prime minister must explain how his children became owners or trustees of offshore companies that own expensive London property. With thousands of Khan’s supporters bearing down on the capital on Tuesday, the supreme court offered a way out of the crisis, saying the PTI and the governing Pakistan Muslim League (Nawaz) (PML-N) had until Thursday to agree terms of reference for the judge-led inquiry or the court would decide them. Sharif and his children deny any wrongdoing, but Khan has suggested that the family’s offshore companies may have been used to hide “ill-gotten wealth” or avoid tax. Islamabad had been braced for the arrival of thousands of Khan’s supporters, in a repeat of the PTI’s 2014 street protests that lasted four months. Fearing violent confrontations in the heart of the capital, the government had taken extraordinary steps to head off the protests, including placing shipping containers across some of the access roads into Islamabad and using colonial-era legislation to ban gatherings of more than four people in Punjab, Pakistan’s largest province.",Who is jailed/imprisoned in a protest?,no-answer
"Imran Khan abandons Islamabad protest after inquiry into PM granted Imran Khan has abandoned plans to bring Islamabad to a standstill after Pakistan’s highest court agreed to his petition to launch an inquiry into corruption allegations against the prime minister. Khan, the leader of the Tehreek-e-Insaf party (PTI), had vowed to “lock down” Pakistan’s capital on Wednesday as part of his campaign against Nawaz Sharif after the leaking of the Panama Papers . He says the prime minister must explain how his children became owners or trustees of offshore companies that own expensive London property. With thousands of Khan’s supporters bearing down on the capital on Tuesday, the supreme court offered a way out of the crisis, saying the PTI and the governing Pakistan Muslim League (Nawaz) (PML-N) had until Thursday to agree terms of reference for the judge-led inquiry or the court would decide them. Sharif and his children deny any wrongdoing, but Khan has suggested that the family’s offshore companies may have been used to hide “ill-gotten wealth” or avoid tax. Islamabad had been braced for the arrival of thousands of Khan’s supporters, in a repeat of the PTI’s 2014 street protests that lasted four months. Fearing violent confrontations in the heart of the capital, the government had taken extraordinary steps to head off the protests, including placing shipping containers across some of the access roads into Islamabad and using colonial-era legislation to ban gatherings of more than four people in Punjab, Pakistan’s largest province.",How many are jailed/imprisoned in a protest?,no-answer
"Imran Khan abandons Islamabad protest after inquiry into PM granted Imran Khan has abandoned plans to bring Islamabad to a standstill after Pakistan’s highest court agreed to his petition to launch an inquiry into corruption allegations against the prime minister. Khan, the leader of the Tehreek-e-Insaf party (PTI), had vowed to “lock down” Pakistan’s capital on Wednesday as part of his campaign against Nawaz Sharif after the leaking of the Panama Papers . He says the prime minister must explain how his children became owners or trustees of offshore companies that own expensive London property. With thousands of Khan’s supporters bearing down on the capital on Tuesday, the supreme court offered a way out of the crisis, saying the PTI and the governing Pakistan Muslim League (Nawaz) (PML-N) had until Thursday to agree terms of reference for the judge-led inquiry or the court would decide them. Sharif and his children deny any wrongdoing, but Khan has suggested that the family’s offshore companies may have been used to hide “ill-gotten wealth” or avoid tax. Islamabad had been braced for the arrival of thousands of Khan’s supporters, in a repeat of the PTI’s 2014 street protests that lasted four months. Fearing violent confrontations in the heart of the capital, the government had taken extraordinary steps to head off the protests, including placing shipping containers across some of the access roads into Islamabad and using colonial-era legislation to ban gatherings of more than four people in Punjab, Pakistan’s largest province.",Who is injured/wounded in a protest?,no-answer
"Imran Khan abandons Islamabad protest after inquiry into PM granted Imran Khan has abandoned plans to bring Islamabad to a standstill after Pakistan’s highest court agreed to his petition to launch an inquiry into corruption allegations against the prime minister. Khan, the leader of the Tehreek-e-Insaf party (PTI), had vowed to “lock down” Pakistan’s capital on Wednesday as part of his campaign against Nawaz Sharif after the leaking of the Panama Papers . He says the prime minister must explain how his children became owners or trustees of offshore companies that own expensive London property. With thousands of Khan’s supporters bearing down on the capital on Tuesday, the supreme court offered a way out of the crisis, saying the PTI and the governing Pakistan Muslim League (Nawaz) (PML-N) had until Thursday to agree terms of reference for the judge-led inquiry or the court would decide them. Sharif and his children deny any wrongdoing, but Khan has suggested that the family’s offshore companies may have been used to hide “ill-gotten wealth” or avoid tax. Islamabad had been braced for the arrival of thousands of Khan’s supporters, in a repeat of the PTI’s 2014 street protests that lasted four months. Fearing violent confrontations in the heart of the capital, the government had taken extraordinary steps to head off the protests, including placing shipping containers across some of the access roads into Islamabad and using colonial-era legislation to ban gatherings of more than four people in Punjab, Pakistan’s largest province.",How many are injured/wounded in a protest?,no-answer
"Imran Khan abandons Islamabad protest after inquiry into PM granted Imran Khan has abandoned plans to bring Islamabad to a standstill after Pakistan’s highest court agreed to his petition to launch an inquiry into corruption allegations against the prime minister. Khan, the leader of the Tehreek-e-Insaf party (PTI), had vowed to “lock down” Pakistan’s capital on Wednesday as part of his campaign against Nawaz Sharif after the leaking of the Panama Papers . He says the prime minister must explain how his children became owners or trustees of offshore companies that own expensive London property. With thousands of Khan’s supporters bearing down on the capital on Tuesday, the supreme court offered a way out of the crisis, saying the PTI and the governing Pakistan Muslim League (Nawaz) (PML-N) had until Thursday to agree terms of reference for the judge-led inquiry or the court would decide them. Sharif and his children deny any wrongdoing, but Khan has suggested that the family’s offshore companies may have been used to hide “ill-gotten wealth” or avoid tax. Islamabad had been braced for the arrival of thousands of Khan’s supporters, in a repeat of the PTI’s 2014 street protests that lasted four months. Fearing violent confrontations in the heart of the capital, the government had taken extraordinary steps to head off the protests, including placing shipping containers across some of the access roads into Islamabad and using colonial-era legislation to ban gatherings of more than four people in Punjab, Pakistan’s largest province.",Who leads/organizes a protest?,no-answer
"Imran Khan abandons Islamabad protest after inquiry into PM granted Imran Khan has abandoned plans to bring Islamabad to a standstill after Pakistan’s highest court agreed to his petition to launch an inquiry into corruption allegations against the prime minister. Khan, the leader of the Tehreek-e-Insaf party (PTI), had vowed to “lock down” Pakistan’s capital on Wednesday as part of his campaign against Nawaz Sharif after the leaking of the Panama Papers . He says the prime minister must explain how his children became owners or trustees of offshore companies that own expensive London property. With thousands of Khan’s supporters bearing down on the capital on Tuesday, the supreme court offered a way out of the crisis, saying the PTI and the governing Pakistan Muslim League (Nawaz) (PML-N) had until Thursday to agree terms of reference for the judge-led inquiry or the court would decide them. Sharif and his children deny any wrongdoing, but Khan has suggested that the family’s offshore companies may have been used to hide “ill-gotten wealth” or avoid tax. Islamabad had been braced for the arrival of thousands of Khan’s supporters, in a repeat of the PTI’s 2014 street protests that lasted four months. Fearing violent confrontations in the heart of the capital, the government had taken extraordinary steps to head off the protests, including placing shipping containers across some of the access roads into Islamabad and using colonial-era legislation to ban gatherings of more than four people in Punjab, Pakistan’s largest province.",What a protest is meant to end?,no-answer
"Imran Khan abandons Islamabad protest after inquiry into PM granted Imran Khan has abandoned plans to bring Islamabad to a standstill after Pakistan’s highest court agreed to his petition to launch an inquiry into corruption allegations against the prime minister. Khan, the leader of the Tehreek-e-Insaf party (PTI), had vowed to “lock down” Pakistan’s capital on Wednesday as part of his campaign against Nawaz Sharif after the leaking of the Panama Papers . He says the prime minister must explain how his children became owners or trustees of offshore companies that own expensive London property. With thousands of Khan’s supporters bearing down on the capital on Tuesday, the supreme court offered a way out of the crisis, saying the PTI and the governing Pakistan Muslim League (Nawaz) (PML-N) had until Thursday to agree terms of reference for the judge-led inquiry or the court would decide them. Sharif and his children deny any wrongdoing, but Khan has suggested that the family’s offshore companies may have been used to hide “ill-gotten wealth” or avoid tax. Islamabad had been braced for the arrival of thousands of Khan’s supporters, in a repeat of the PTI’s 2014 street protests that lasted four months. Fearing violent confrontations in the heart of the capital, the government had taken extraordinary steps to head off the protests, including placing shipping containers across some of the access roads into Islamabad and using colonial-era legislation to ban gatherings of more than four people in Punjab, Pakistan’s largest province.",What was averted/haven't occurred because of a protest?,no-answer
"Imran Khan abandons Islamabad protest after inquiry into PM granted Imran Khan has abandoned plans to bring Islamabad to a standstill after Pakistan’s highest court agreed to his petition to launch an inquiry into corruption allegations against the prime minister. Khan, the leader of the Tehreek-e-Insaf party (PTI), had vowed to “lock down” Pakistan’s capital on Wednesday as part of his campaign against Nawaz Sharif after the leaking of the Panama Papers . He says the prime minister must explain how his children became owners or trustees of offshore companies that own expensive London property. With thousands of Khan’s supporters bearing down on the capital on Tuesday, the supreme court offered a way out of the crisis, saying the PTI and the governing Pakistan Muslim League (Nawaz) (PML-N) had until Thursday to agree terms of reference for the judge-led inquiry or the court would decide them. Sharif and his children deny any wrongdoing, but Khan has suggested that the family’s offshore companies may have been used to hide “ill-gotten wealth” or avoid tax. Islamabad had been braced for the arrival of thousands of Khan’s supporters, in a repeat of the PTI’s 2014 street protests that lasted four months. Fearing violent confrontations in the heart of the capital, the government had taken extraordinary steps to head off the protests, including placing shipping containers across some of the access roads into Islamabad and using colonial-era legislation to ban gatherings of more than four people in Punjab, Pakistan’s largest province.",What will potentially occur because of a protest?,no-answer
